2024-12-04 01:14:58,815 INFO    MainThread:91204 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-12-04 01:14:58,816 INFO    MainThread:91204 [wandb_setup.py:_flush():79] Configure stats pid to 91204
2024-12-04 01:14:58,816 INFO    MainThread:91204 [wandb_setup.py:_flush():79] Loading settings from /Users/seunadekunle/.config/wandb/settings
2024-12-04 01:14:58,816 INFO    MainThread:91204 [wandb_setup.py:_flush():79] Loading settings from /Users/seunadekunle/school/561/style_classifier/wandb/settings
2024-12-04 01:14:58,816 INFO    MainThread:91204 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-12-04 01:14:58,816 INFO    MainThread:91204 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-12-04 01:14:58,816 INFO    MainThread:91204 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'src/train_compare.py', 'program_abspath': '/Users/seunadekunle/school/561/style_classifier/src/train_compare.py', 'program': '/Users/seunadekunle/school/561/style_classifier/src/train_compare.py'}
2024-12-04 01:14:58,816 INFO    MainThread:91204 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-12-04 01:14:58,816 INFO    MainThread:91204 [wandb_setup.py:_flush():79] Applying login settings: {'api_key': '***REDACTED***'}
2024-12-04 01:14:58,816 INFO    MainThread:91204 [wandb_init.py:_log_setup():533] Logging user logs to /Users/seunadekunle/school/561/style_classifier/wandb/run-20241204_011458-a1ggzhe4/logs/debug.log
2024-12-04 01:14:58,816 INFO    MainThread:91204 [wandb_init.py:_log_setup():534] Logging internal logs to /Users/seunadekunle/school/561/style_classifier/wandb/run-20241204_011458-a1ggzhe4/logs/debug-internal.log
2024-12-04 01:14:58,816 INFO    MainThread:91204 [wandb_init.py:init():619] calling init triggers
2024-12-04 01:14:58,817 INFO    MainThread:91204 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'model': 'baseline', 'data_dir': 'data/deepfashion', 'batch_size': 32, 'epochs': 50, 'lr': 0.001, 'device': 'cuda', 'output_dir': 'outputs'}
2024-12-04 01:14:58,817 INFO    MainThread:91204 [wandb_init.py:init():669] starting backend
2024-12-04 01:14:58,817 INFO    MainThread:91204 [wandb_init.py:init():673] sending inform_init request
2024-12-04 01:14:58,820 INFO    MainThread:91204 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-12-04 01:14:58,821 INFO    MainThread:91204 [wandb_init.py:init():686] backend started and connected
2024-12-04 01:14:58,842 INFO    MainThread:91204 [wandb_init.py:init():781] updated telemetry
2024-12-04 01:14:58,924 INFO    MainThread:91204 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-12-04 01:14:59,820 INFO    MainThread:91204 [wandb_init.py:init():867] starting run threads in backend
2024-12-04 01:14:59,909 INFO    MainThread:91204 [wandb_run.py:_console_start():2456] atexit reg
2024-12-04 01:14:59,909 INFO    MainThread:91204 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-12-04 01:14:59,909 INFO    MainThread:91204 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-12-04 01:14:59,909 INFO    MainThread:91204 [wandb_run.py:_redirect():2395] Redirects installed.
2024-12-04 01:14:59,911 INFO    MainThread:91204 [wandb_init.py:init():911] run started, returning control to user process
2024-12-04 01:14:59,912 WARNING MsgRouterThr:91204 [router.py:message_loop():75] message_loop has been closed
